Time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
0,3.9010697321601415,5.088461804505512,2.243211747602601,3.621531320960344,0.0050465435040662,0.0047176265003848,0.1040505614801328,4.286560908237337,56.93,0
1,3.983299071187472,5.100302838400292,2.298160213341313,2.0558276377733526,-0.0021896305777327,0.0024152074745177,0.1553616139123568,6.093634417325182,56.93,0
2,3.880019021992036,5.023993955146751,2.349489322748634,3.1220587136894724,-0.0002161285552547,0.0014284564633794,0.1468097718424765,4.213870159103346,56.93,0
3,3.9954690136960753,5.140430787388131,3.3158592904867006,2.8515935084596498,-0.0051498836116914,0.0040597924930116,0.1800303891107036,6.107448968431964,56.93,0
4,3.883637112784271,5.102934179280169,2.444908830761396,2.0406921365069883,0.0126116345877965,0.0037308754893198,0.1622688709683288,4.259260762248201,56.93,0
5,3.91093725263828,5.114117378078033,3.308127008013856,4.535587391045128,0.0103092155625028,0.0047176265003848,0.2158823423942709,6.135078071167307,56.93,0
6,3.9204758558200306,5.071029171463655,1.8016499611521453,4.407264057644154,0.0083357135406913,0.0172164726378964,0.2474583746444575,5.21377941863142,56.93,0
7,3.8089728770199422,5.0430711755516775,2.8818645469425928,4.757027506327935,0.0007706224559363,-0.0288319078942686,0.2662066437952938,4.502330753537554,56.93,0
8,4.010928129980502,4.890124502268105,2.5821155257975823,2.8739677541442314,-0.0005450455589921,-0.0012028795664776,0.3069923521350117,5.885429417840129,56.93,0
9,3.960932690585645,4.894729348095879,2.1296954686002203,1.9344146025863491,0.0001127884484791,-0.0419885880601315,0.3372527164022859,5.8814824040032025,56.93,0
10,4.133285395779072,4.923345176084308,1.8659758259235537,3.7248478541539582,0.0027441244782235,-0.0071233856344934,0.3990891130082686,4.8858485740131785,56.93,0
11,3.7112844322513534,5.162139350465656,2.157169696935612,4.96366120284199,0.0020862904708084,0.0050465435040662,0.4043517850644354,4.259918597085821,56.93,0
12,3.943500070611671,5.070371336259001,2.493934720989114,3.3048366750825404,0.0096513815552458,0.0119538005805864,0.1487832738586644,4.676657022964182,62.04,0
13,3.9559989301978327,4.9887997733846685,2.9139452687875984,2.540986417624538,-0.0018607135739774,0.0300442357741475,0.1902268161916826,5.8798378149085115,62.04,0
14,3.9826412364597377,4.9697225537465055,2.356892559981373,2.05533408881468,-0.0005450455589921,0.0024152074745177,0.2319992755215856,5.235487982932831,62.04,0
15,3.9816544843686086,5.048004939493662,2.407399091591035,2.2696988817816615,-0.0012028795664776,0.009980298558876,0.2898886679901746,4.630937489931656,62.04,0
16,3.958301351710392,5.020375861652229,1.4622529470396382,0.845646289288203,-0.0429753390728404,-0.0018607135739774,0.389550519908493,5.957791340613072,62.04,0
17,3.963564029464908,4.982221421755023,2.7464674682854167,3.2523558677023314,0.0047176265003848,0.0037308754893198,0.4148771291792631,5.286470218717697,62.04,0
18,4.212554489466036,5.2956799131406616,2.624067218797104,1.1238431263612234,0.0007706224559363,0.0037308754893198,0.5102630604004159,4.38786747820149,62.04,0
19,3.92968554170014,5.179243067083485,2.174279396500616,0.8917108130351467,0.0162297216272149,0.0155718876200775,0.495132878182179,5.759453899562812,62.04,0
20,4.053029553765695,4.948013993793888,2.5529961169464235,4.193885482736205,0.0007706224559363,0.0001127884484791,0.4964485462007506,5.965685368832034,62.04,0
21,3.8803479393364784,5.1641128562178205,1.915988777588689,0.1844559343394723,0.021821310687359,0.034977990825304,0.4885545380904499,4.5325911611025615,62.04,0
22,3.74582075051204,4.847036302762968,2.632951107075747,2.833003143205407,0.0063622115187574,0.0103092155625028,0.4254024732975659,4.772372021264527,62.04,0
23,3.9372506408523766,5.065108654633445,3.5670762785928645,4.938161018512163,-0.0012028795664776,-0.0090968876574271,0.3823143458344748,6.1551420628769655,62.04,0
24,3.9191601864125545,4.797040836300024,2.5949478080745645,2.5493767554840727,0.0001127884484791,0.0007706224559363,0.2231185164513736,4.298073018132221,72.99,0
25,3.980667732278047,5.0049167350123405,2.8856484268629785,0.0947946451886774,-0.0051498836116914,0.0073489625297397,0.332647878360575,5.731824805999473,72.99,0
26,3.832326007694008,5.113130625239121,1.8977274692597184,1.6930692272823404,-0.0156752277348392,0.0037308754893198,0.4355989004156558,4.1451264219782535,72.99,0
27,3.926396368165944,4.975314152578211,2.049740533970175,4.934706154978176,0.0040597924930116,0.0165586386307786,0.4744111068994399,5.783793815862841,72.99,0
28,3.7639112031937487,4.947685076221503,3.1928008513803374,0.4791043226681572,0.0001127884484791,-0.0012028795664776,0.4780291939475132,5.690381166873838,72.99,0
29,3.962248360024775,5.202596218981983,2.6283446464714864,0.3361398044294732,0.0060332945150898,0.0076778795333937,0.47835811095191,4.258602927410851,72.99,0
30,3.8023945304059774,5.035834988469619,2.857351586311851,1.4752497284924333,-0.0018607135739774,-0.0005450455589921,0.4536893356341196,4.918082495030329,72.99,0
31,4.050069297371559,4.951303169522085,2.624725284591311,0.5149688399917178,0.0060332945150898,0.0063622115187574,0.4872388700723275,6.2751971030028235,72.99,0
32,3.9721158808502377,5.133194599775425,2.6956318778972506,1.1323979677062042,0.0037308754893198,0.0024152074745177,0.4806605299828132,5.375277989156029,72.99,0
33,4.117497360978893,5.130892176452461,1.8932855294517952,0.1785333537647919,0.0030730414819257,0.018861057655634,0.4398748214662376,4.433915921273109,72.99,0
34,3.7326640577648735,4.940119972078495,3.341194855165228,3.1105425526271757,-0.0038342155965626,-0.0005450455589921,0.4204687182416673,5.606178222004071,72.99,0
35,3.898767310723232,4.894400430536244,2.836787022811655,0.2861269012395284,-0.0058077176192775,-0.0005450455589921,0.3586323216015668,5.877864307998006,72.99,0
36,3.8744274271458967,5.093066651007585,3.24692681896976,3.923913216814958,0.0060332945150898,0.0037308754893198,0.2461427066339571,4.460229317933952,81.75,0
37,3.845153783827723,5.218055347934671,1.3192883600865957,2.6105768701638925,-0.0012028795664776,0.0037308754893198,0.3629082426426188,5.497306454373537,81.75,0
38,4.135258900139696,4.9779454932128555,1.643714352113825,1.042078587306447,0.0024152074745177,-0.0337656629556944,0.45237366761783,5.502240220067412,81.75,0
39,3.8971227239844306,5.122340318430985,2.8943678024252515,3.1817782386070528,0.0004417054522095,0.0004417054522095,0.4750689409081408,5.402907074570231,81.75,0
40,3.987903914288673,5.225620453659679,3.202836364703551,4.79322129766404,-0.0005450455589921,-0.0242270698377546,0.4346121494040733,5.5325006500923415,81.75,0
41,4.136245652320894,5.198320289729747,2.196982652269899,2.255056925505527,0.0017573734670957,0.0066911285224216,0.4638857627625836,5.341399468585921,81.75,0
42,3.92968554170014,5.271011088942836,2.394237780076624,2.1058406004511414,0.0034019584856245,0.0093224645516123,0.504671471318562,5.329229514817046,81.75,0
43,3.901727566856956,5.1466802221766335,3.2280074071657205,2.0836308962540406,-0.0012028795664776,0.0017573734670957,0.5026979692900116,4.985181679984415,81.75,0
44,3.738584569489428,5.011824004340178,2.695796394364294,2.8038837226914444,-0.0028474645852539,0.0089935475479754,0.5247354086190327,4.137232404502682,81.75,0
45,3.938566310273517,4.904596874921348,3.2952947097025107,2.330076389920244,0.0129405515913965,-0.0133728087075743,0.4530315016259667,4.3326093483197115,81.75,0
46,3.877058765894816,4.880585893102157,2.26196661270142,1.941488803356628,0.0030730414819257,0.0208345596768128,0.4092855401178396,4.5220658018804185,81.75,0
47,3.819169314319121,4.987813020638188,2.719157733124961,1.834059667403812,0.0010995394596596,-0.0015317965702258,0.1658869579974986,4.784541969961651,88.32,0
48,3.9869171621945183,5.0407687523849685,1.970279155915634,1.5779078554705592,0.0027441244782235,0.0024152074745177,0.2704825648300721,4.376026450204757,88.32,0
49,3.8247609089916415,5.015113180223006,1.9544855909661605,1.7223531210048466,0.0043887094966999,0.0014284564633794,0.3727757527390033,5.103592014500955,88.32,0
50,3.8931757158175864,4.7763190316413375,1.5250981447663785,2.8825226130139407,0.0070200455260824,0.0034019584856245,0.4684906008219168,6.021930321499725,88.32,0
51,3.8086439596886734,5.009850498814332,1.2684528548111955,1.7052434301877204,0.0050465435040662,0.0208345596768128,0.4747400239037882,5.862405170650222,88.32,0
52,3.9382373929181385,5.107210108221125,3.2834495115489686,3.858106475263913,0.0073489625297397,0.0063622115187574,0.4645435967710088,5.55256463128439,88.32,0
53,4.004349782608319,5.025309625510808,0.8785495204338059,5.005448605899243,0.0014284564633794,0.0257683147292598,0.557298192148652,5.346004315988515,88.32,0
54,3.9987581873618967,5.259170053496941,2.758970720932348,4.9356932588413995,0.0050465435040662,0.0129405515913965,0.5365764208054106,4.644423107439711,88.32,0
